part,condition,subject_id,item_id,RT,P1,N170,N400
I,Informed,sub-24,108,2699,7.883,3.643,-7.380
I,Informed,sub-24,22,0,13.781,5.663,-5.165
I,Excl_known,sub-24,96,1189,10.809,5.158,2.194
I,Excl_informed,sub-24,19,1354,18.039,6.114,0.513
I,Excl_naive,sub-24,92,2341,2.742,0.650,-10.276
I,Informed,sub-24,89,1544,18.261,11.449,2.092
I,Informed,sub-24,82,1278,17.700,12.507,-1.646
I,Informed,sub-24,46,0,12.891,-1.873,-5.094
I,Naive,sub-24,9,1511,4.705,2.452,-8.517
I,Informed,sub-24,20,1352,10.327,10.867,-2.174
I,Naive,sub-24,69,1354,9.252,5.124,-1.818
I,Informed,sub-24,56,1329,13.185,9.644,-3.031
I,Informed,sub-24,88,1970,17.950,9.511,0.773
I,Excl_naive,sub-24,72,1428,20.677,13.895,1.375
I,Excl_naive,sub-24,94,1477,19.655,11.222,-0.071
I,Excl_known,sub-24,53,839,16.698,4.227,2.951
I,Naive,sub-24,97,2294,13.065,14.878,-7.681
I,Naive,sub-24,35,1723,9.917,10.115,-0.585
I,Informed,sub-24,119,1497,13.128,7.501,6.885
I,Naive,sub-24,1,1793,15.500,7.031,-9.432
I,Informed,sub-24,107,2386,13.846,3.088,-6.534
I,Naive,sub-24,37,2601,13.656,14.107,-3.147
I,Informed,sub-24,58,0,22.370,3.826,0.072
I,Informed,sub-24,16,2264,9.821,8.704,5.637
I,Naive,sub-24,74,1088,12.188,5.001,8.146
I,Informed,sub-24,47,1010,16.886,14.232,1.053
I,Naive,sub-24,43,1049,16.341,4.948,-1.279
I,Informed,sub-24,27,1687,16.580,4.562,3.384
I,Excl_naive,sub-24,67,1450,21.461,12.922,-7.107
I,Informed,sub-24,54,2179,22.047,1.766,1.474
I,Excl_naive,sub-24,99,1868,15.949,11.449,-2.741
I,Naive,sub-24,95,2239,16.821,10.862,0.313
I,Informed,sub-24,29,1602,9.453,16.615,-3.431
I,Informed,sub-24,78,1165,17.880,20.808,-6.123
I,Informed,sub-24,109,1127,20.151,16.322,-15.201
I,Naive,sub-24,4,1975,11.272,1.360,2.132
I,Excl_known,sub-24,28,1659,11.369,2.872,1.483
I,Excl_known,sub-24,38,1188,17.473,10.416,-2.792
I,Excl_naive,sub-24,98,1527,8.853,9.590,-5.745
I,Informed,sub-24,24,1656,18.318,14.767,-6.811
I,Excl_known,sub-24,84,1315,20.702,11.862,-7.713
