VPNummer	Version	l_r	Wdh	StimID	Bild	Stichwort1	Stichwort2	Bed	bek_unbek	BedTrigger	Taste	Tastencode	RT
VP_05	1	l	211	26	Huehnereier-Brutautomat.bmp	Windgeschwindigkeit	messen	falsch	unbekannt	222	0	0	0	
VP_05	1	l	211	121	besen.bmp				bekannt	230	1	201	939	
VP_05	1	l	211	3	Knochensaege.bmp	Knochen	sägen	richtig	unbekannt	221	3	203	1489	
VP_05	1	l	211	121	sieb.bmp				bekannt	230	1	201	1582	
VP_05	1	l	211	121	ampel.bmp				bekannt	230	1	201	713	
VP_05	1	l	211	74	Brenneisen.bmp	Zeichen	einbrennen	richtig	unbekannt	221	3	203	1641	
VP_05	1	l	211	121	zollstock.bmp				bekannt	230	1	201	997	
VP_05	1	l	211	121	wasserkocher.bmp				bekannt	230	1	201	687	
VP_05	1	l	211	121	kaffeemaschine.bmp				bekannt	230	1	201	727	
VP_05	1	l	211	121	puerierstab.bmp				bekannt	230	1	201	695	
VP_05	1	l	211	121	mikrowelle.bmp				bekannt	230	1	201	617	
VP_05	1	l	211	121	schalter.bmp				bekannt	230	1	201	892	
VP_05	1	l	211	76	galvanometer_2.bmp	Mandeln	operieren	falsch	unbekannt	222	3	203	2266	
VP_05	1	l	211	36	antizaungurt.bmp	Kuh	vom Zaun abhalten	richtig	unbekannt	221	4	204	1313	
VP_05	1	l	211	43	Bleistiftspitzer.bmp	Bleistift	anspitzen	richtig	unbekannt	221	1	201	1992	
VP_05	1	l	211	19	Brikettpresse.bmp	Narkosemittel	abgeben	falsch	unbekannt	222	2	202	1787	
VP_05	1	l	211	121	zirkel.bmp				bekannt	230	1	201	1556	
VP_05	1	l	211	121	waage.bmp				bekannt	230	1	201	621	
VP_05	1	l	211	121	buegeleisen.bmp				bekannt	230	1	201	716	
VP_05	1	l	211	121	kasse.bmp				bekannt	230	1	201	938	
VP_05	1	l	211	121	fernseher.bmp				bekannt	230	1	201	589	
VP_05	1	l	211	18	glasschneider.bmp	Eier	wiegen	falsch	unbekannt	222	3	203	1575	
VP_05	1	l	211	121	gluehbirne.bmp				bekannt	230	1	201	856	
VP_05	1	l	211	32	radiofrequenzeinsteller.bmp	Radiofrequenz	einstellen	richtig	unbekannt	221	3	203	912	
VP_05	1	l	211	121	trompete.bmp				bekannt	230	1	201	747	
VP_05	1	l	211	37	Saemaschine.bmp	Saatgut	gleichmäßig aussäen	richtig	unbekannt	221	0	0	0	
VP_05	1	l	211	121	radio.bmp				bekannt	230	1	201	763	
VP_05	1	l	211	28	Briefwaage.bmp	Korngarbe	greifen	falsch	unbekannt	222	4	204	1084	
VP_05	1	l	211	101	pianostimmgeraet.bmp	Piano	stimmen	richtig	unbekannt	221	4	204	1364	
VP_05	1	l	211	46	plattenheber.bmp	Kleidung	im Eimer waschen	falsch	unbekannt	222	4	204	758	
VP_05	1	l	211	121	rechen.bmp				bekannt	230	1	201	870	
VP_05	1	l	211	68	Roemisches_Senklot.bmp	Schnurlot	absenken	richtig	unbekannt	221	4	204	1786	
VP_05	1	l	211	103	Kartoffelstampfer.bmp	Kartoffeln	stampfen	richtig	unbekannt	221	4	204	1748	
VP_05	1	l	211	24	weinfassoeffner.bmp	Tier	einfangen	falsch	unbekannt	222	4	204	1671	
VP_05	1	l	211	121	lineal.bmp				bekannt	230	1	201	732	
VP_05	1	l	211	106	uhrwerk.bmp	altes Ritual	hacken	falsch	unbekannt	222	4	204	793	
