subject_id,Excl_informed,Excl_known,Excl_naive,Informed,Naive
sub-01,49,7,1,11,52
sub-02,23,6,5,33,53
sub-03,30,8,6,25,51
sub-04,14,10,7,43,46
sub-05,27,7,8,33,45
sub-06,27,14,3,25,51
sub-07,31,4,5,27,53
sub-08,24,8,2,31,55
sub-09,36,8,3,20,53
sub-10,20,7,9,37,47
sub-11,31,8,7,25,49
sub-12,42,5,1,15,57
sub-13,37,8,3,20,52
sub-14,42,9,3,14,52
sub-15,49,2,1,9,59
sub-16,19,19,0,30,52
sub-17,23,5,19,35,38
sub-18,22,5,24,35,34
sub-19,41,8,7,16,48
sub-20,22,11,2,33,52
sub-21,41,3,16,18,42
sub-22,17,7,7,38,51
sub-23,32,4,8,26,50
sub-24,8,8,28,48,28
sub-25,19,4,10,40,47
sub-26,15,8,23,41,33
sub-27,25,4,23,33,35
sub-28,50,8,1,5,56
sub-29,43,3,3,14,57
sub-30,37,0,4,23,56
sub-31,47,0,1,13,59
sub-32,28,7,3,26,56
sub-33,24,5,14,33,44
sub-34,29,9,7,23,52
sub-35,50,2,4,9,55
sub-36,32,12,1,20,55
sub-37,29,4,8,28,51
sub-38,33,7,4,24,52
sub-39,14,4,7,45,50
sub-40,19,14,14,34,39
sub-41,21,7,11,35,46
sub-42,23,5,4,35,53
sub-43,23,28,12,25,32
sub-44,31,9,2,23,55
sub-45,41,0,4,19,56
sub-46,50,3,0,10,57
sub-47,22,17,10,35,36
sub-48,16,8,7,40,49
